Distance,X-Velocity
 0.000000E+00, 1.307419E-04
 1.001249E-05, 1.461922E-04
 2.002498E-05, 1.616426E-04
 3.003747E-05, 1.770930E-04
 4.004996E-05, 1.925433E-04
 5.006246E-05, 2.079937E-04
 6.007495E-05, 2.234440E-04
 7.008744E-05, 2.388944E-04
 8.009993E-05, 2.543448E-04
 9.011241E-05, 2.735087E-04
 1.001249E-04, 3.027025E-04
 1.101374E-04, 3.318962E-04
 1.201499E-04, 3.610899E-04
 1.301624E-04, 3.902837E-04
 1.401749E-04, 4.194775E-04
 1.501874E-04, 4.486713E-04
 1.601999E-04, 4.778650E-04
 1.702124E-04, 5.070588E-04
 1.802248E-04, 5.362525E-04
 1.902373E-04, 5.650411E-04
 2.002498E-04, 5.936272E-04
 2.102623E-04, 6.222135E-04
 2.202748E-04, 6.507996E-04
 2.302873E-04, 6.793858E-04
 2.402998E-04, 7.079720E-04
 2.503123E-04, 7.365582E-04
 2.603248E-04, 7.651444E-04
 2.703373E-04, 7.937305E-04
 2.803497E-04, 8.223166E-04
 2.903623E-04, 8.508334E-04
 3.003747E-04, 8.787511E-04
 3.103872E-04, 9.066690E-04
 3.203997E-04, 9.345867E-04
 3.304122E-04, 9.625046E-04
 3.404247E-04, 9.904224E-04
 3.504371E-04, 1.018340E-03
 3.604496E-04, 1.046258E-03
 3.704621E-04, 1.074176E-03
 3.804746E-04, 1.102094E-03
 3.904871E-04, 1.130012E-03
 4.004995E-04, 1.157929E-03
 4.105120E-04, 1.185491E-03
 4.205245E-04, 1.212673E-03
 4.305370E-04, 1.239856E-03
 4.405495E-04, 1.267039E-03
 4.505619E-04, 1.294221E-03
 4.605744E-04, 1.321404E-03
 4.705869E-04, 1.348586E-03
 4.805994E-04, 1.375769E-03
 4.906119E-04, 1.402951E-03
 5.006244E-04, 1.430134E-03
 5.106369E-04, 1.457317E-03
 5.206494E-04, 1.484499E-03
 5.306619E-04, 1.511682E-03
 5.406744E-04, 1.538296E-03
 5.506870E-04, 1.564669E-03
 5.606995E-04, 1.591043E-03
 5.707120E-04, 1.617417E-03
 5.807245E-04, 1.643791E-03
 5.907370E-04, 1.670164E-03
 6.007495E-04, 1.696538E-03
 6.107620E-04, 1.722912E-03
 6.207745E-04, 1.749285E-03
 6.307870E-04, 1.775659E-03
 6.407996E-04, 1.802033E-03
 6.508121E-04, 1.828406E-03
 6.608246E-04, 1.854780E-03
 6.708371E-04, 1.881154E-03
 6.808496E-04, 1.906955E-03
 6.908621E-04, 1.932439E-03
 7.008746E-04, 1.957922E-03
 7.108871E-04, 1.983406E-03
 7.208996E-04, 2.008890E-03
 7.309121E-04, 2.034374E-03
 7.409247E-04, 2.059858E-03
 7.509371E-04, 2.085342E-03
 7.609497E-04, 2.110826E-03
 7.709622E-04, 2.136309E-03
 7.809747E-04, 2.161793E-03
 7.909872E-04, 2.187277E-03
 8.009997E-04, 2.212761E-03
 8.110122E-04, 2.238245E-03
 8.210247E-04, 2.263729E-03
 8.310372E-04, 2.289038E-03
 8.410498E-04, 2.313543E-03
 8.510622E-04, 2.338047E-03
 8.610748E-04, 2.362552E-03
 8.710873E-04, 2.387057E-03
 8.810998E-04, 2.411562E-03
 8.911123E-04, 2.436067E-03
 9.011248E-04, 2.460571E-03
 9.111373E-04, 2.485076E-03
 9.211499E-04, 2.509581E-03
 9.311623E-04, 2.534086E-03
 9.411749E-04, 2.558591E-03
 9.511873E-04, 2.583096E-03
 9.611999E-04, 2.607600E-03
 9.712123E-04, 2.632105E-03
 9.812248E-04, 2.656610E-03
 9.912372E-04, 2.681115E-03
 1.001250E-03, 2.705440E-03
 1.011262E-03, 2.728867E-03
 1.021275E-03, 2.752295E-03
 1.031287E-03, 2.775722E-03
 1.041300E-03, 2.799149E-03
 1.051312E-03, 2.822577E-03
 1.061324E-03, 2.846004E-03
 1.071337E-03, 2.869432E-03
 1.081349E-03, 2.892859E-03
 1.091362E-03, 2.916287E-03
 1.101374E-03, 2.939714E-03
 1.111387E-03, 2.963142E-03
 1.121399E-03, 2.986569E-03
 1.131412E-03, 3.009997E-03
 1.141424E-03, 3.033424E-03
 1.151436E-03, 3.056851E-03
 1.161449E-03, 3.080279E-03
 1.171461E-03, 3.103706E-03
 1.181474E-03, 3.127133E-03
 1.191486E-03, 3.150024E-03
 1.201499E-03, 3.172266E-03
 1.211511E-03, 3.194509E-03
 1.221524E-03, 3.216751E-03
 1.231536E-03, 3.238993E-03
