Distance,X-Velocity
 0.000000E+00, 1.306578E-04
 1.001249E-05, 1.460985E-04
 2.002498E-05, 1.615392E-04
 3.003747E-05, 1.769799E-04
 4.004996E-05, 1.924206E-04
 5.006246E-05, 2.078613E-04
 6.007495E-05, 2.233020E-04
 7.008744E-05, 2.387426E-04
 8.009993E-05, 2.541833E-04
 9.011241E-05, 2.733354E-04
 1.001249E-04, 3.025111E-04
 1.101374E-04, 3.316869E-04
 1.201499E-04, 3.608626E-04
 1.301624E-04, 3.900384E-04
 1.401749E-04, 4.192142E-04
 1.501874E-04, 4.483899E-04
 1.601999E-04, 4.775657E-04
 1.702124E-04, 5.067415E-04
 1.802248E-04, 5.359172E-04
 1.902373E-04, 5.646885E-04
 2.002498E-04, 5.932576E-04
 2.102623E-04, 6.218267E-04
 2.202748E-04, 6.503959E-04
 2.302873E-04, 6.789651E-04
 2.402998E-04, 7.075343E-04
 2.503123E-04, 7.361035E-04
 2.603248E-04, 7.646726E-04
 2.703373E-04, 7.932417E-04
 2.803497E-04, 8.218108E-04
 2.903623E-04, 8.503105E-04
 3.003747E-04, 8.782124E-04
 3.103872E-04, 9.061142E-04
 3.203997E-04, 9.340162E-04
 3.304122E-04, 9.619180E-04
 3.404247E-04, 9.898199E-04
 3.504371E-04, 1.017722E-03
 3.604496E-04, 1.045624E-03
 3.704621E-04, 1.073526E-03
 3.804746E-04, 1.101427E-03
 3.904871E-04, 1.129329E-03
 4.004995E-04, 1.157231E-03
 4.105120E-04, 1.184777E-03
 4.205245E-04, 1.211945E-03
 4.305370E-04, 1.239113E-03
 4.405495E-04, 1.266281E-03
 4.505619E-04, 1.293449E-03
 4.605744E-04, 1.320617E-03
 4.705869E-04, 1.347785E-03
 4.805994E-04, 1.374952E-03
 4.906119E-04, 1.402120E-03
 5.006244E-04, 1.429288E-03
 5.106369E-04, 1.456456E-03
 5.206494E-04, 1.483624E-03
 5.306619E-04, 1.510792E-03
 5.406744E-04, 1.537392E-03
 5.506870E-04, 1.563753E-03
 5.606995E-04, 1.590114E-03
 5.707120E-04, 1.616474E-03
 5.807245E-04, 1.642835E-03
 5.907370E-04, 1.669195E-03
 6.007495E-04, 1.695556E-03
 6.107620E-04, 1.721916E-03
 6.207745E-04, 1.748277E-03
 6.307870E-04, 1.774637E-03
 6.407996E-04, 1.800998E-03
 6.508121E-04, 1.827359E-03
 6.608246E-04, 1.853719E-03
 6.708371E-04, 1.880080E-03
 6.808496E-04, 1.905868E-03
 6.908621E-04, 1.931341E-03
 7.008746E-04, 1.956813E-03
 7.108871E-04, 1.982286E-03
 7.208996E-04, 2.007758E-03
 7.309121E-04, 2.033230E-03
 7.409247E-04, 2.058703E-03
 7.509371E-04, 2.084175E-03
 7.609497E-04, 2.109647E-03
 7.709622E-04, 2.135120E-03
 7.809747E-04, 2.160592E-03
 7.909872E-04, 2.186064E-03
 8.009997E-04, 2.211537E-03
 8.110122E-04, 2.237009E-03
 8.210247E-04, 2.262481E-03
 8.310372E-04, 2.287779E-03
 8.410498E-04, 2.312275E-03
 8.510622E-04, 2.336770E-03
 8.610748E-04, 2.361265E-03
 8.710873E-04, 2.385761E-03
 8.810998E-04, 2.410256E-03
 8.911123E-04, 2.434751E-03
 9.011248E-04, 2.459247E-03
 9.111373E-04, 2.483742E-03
 9.211499E-04, 2.508237E-03
 9.311623E-04, 2.532732E-03
 9.411749E-04, 2.557228E-03
 9.511873E-04, 2.581723E-03
 9.611999E-04, 2.606218E-03
 9.712123E-04, 2.630714E-03
 9.812248E-04, 2.655209E-03
 9.912372E-04, 2.679704E-03
 1.001250E-03, 2.704020E-03
 1.011262E-03, 2.727441E-03
 1.021275E-03, 2.750861E-03
 1.031287E-03, 2.774281E-03
 1.041300E-03, 2.797701E-03
 1.051312E-03, 2.821122E-03
 1.061324E-03, 2.844542E-03
 1.071337E-03, 2.867962E-03
 1.081349E-03, 2.891382E-03
 1.091362E-03, 2.914803E-03
 1.101374E-03, 2.938223E-03
 1.111387E-03, 2.961643E-03
 1.121399E-03, 2.985063E-03
 1.131412E-03, 3.008484E-03
 1.141424E-03, 3.031904E-03
 1.151436E-03, 3.055324E-03
 1.161449E-03, 3.078745E-03
 1.171461E-03, 3.102165E-03
 1.181474E-03, 3.125585E-03
 1.191486E-03, 3.148469E-03
 1.201499E-03, 3.170707E-03
 1.211511E-03, 3.192945E-03
 1.221524E-03, 3.215183E-03
 1.231536E-03, 3.237421E-03
 1.241549E-03, 3.259659E-03
 1.251561E-03, 3.281897E-03
 1.261574E-03, 3.304136E-03
 1.271586E-03, 3.326373E-03
 1.281598E-03, 3.348612E-03
 1.291611E-03, 3.370849E-03
 1.301623E-03, 3.393088E-03
 1.311636E-03, 3.415326E-03
 1.321648E-03, 3.437564E-03
 1.331661E-03, 3.459802E-03
 1.341673E-03, 3.482040E-03
 1.351685E-03, 3.504278E-03
 1.361698E-03, 3.526516E-03
 1.371710E-03, 3.548753E-03
 1.381723E-03, 3.570992E-03
 1.391735E-03, 3.593230E-03
 1.401748E-03, 3.614337E-03
 1.411760E-03, 3.635274E-03
 1.421773E-03, 3.656212E-03
 1.431785E-03, 3.677149E-03
 1.441798E-03, 3.698086E-03
 1.451810E-03, 3.719024E-03
 1.461823E-03, 3.739961E-03
 1.471835E-03, 3.760898E-03
 1.481847E-03, 3.781835E-03
 1.491860E-03, 3.802773E-03
 1.501872E-03, 3.823710E-03
 1.511885E-03, 3.844647E-03
 1.521897E-03, 3.865584E-03
 1.531910E-03, 3.886522E-03
 1.541922E-03, 3.907459E-03
 1.551935E-03, 3.928396E-03
 1.561947E-03, 3.949333E-03
 1.571959E-03, 3.970271E-03
 1.581972E-03, 3.991208E-03
 1.591984E-03, 4.012146E-03
 1.601997E-03, 4.033083E-03
 1.612009E-03, 4.054020E-03
 1.622022E-03, 4.074634E-03
 1.632034E-03, 4.094141E-03
 1.642047E-03, 4.113647E-03
 1.652059E-03, 4.133153E-03
 1.662072E-03, 4.152660E-03
 1.672084E-03, 4.172167E-03
 1.682097E-03, 4.191673E-03
 1.692109E-03, 4.211179E-03
 1.702121E-03, 4.230686E-03
 1.712134E-03, 4.250193E-03
 1.722146E-03, 4.269699E-03
 1.732159E-03, 4.289206E-03
 1.742171E-03, 4.308712E-03
 1.752184E-03, 4.328219E-03
 1.762196E-03, 4.347725E-03
 1.772208E-03, 4.367231E-03
 1.782221E-03, 4.386738E-03
 1.792233E-03, 4.406244E-03
 1.802246E-03, 4.425751E-03
 1.812258E-03, 4.445258E-03
