Distance,Pressure
 0.000000E+00, 5.324754E-02
 6.000161E-05, 5.319754E-02
 1.200032E-04, 5.314755E-02
 1.800048E-04, 5.309755E-02
 2.400064E-04, 5.304755E-02
 3.000080E-04, 5.299756E-02
 3.600096E-04, 5.294757E-02
 4.200113E-04, 5.289757E-02
 4.800129E-04, 5.284758E-02
 5.400145E-04, 5.279758E-02
 6.000161E-04, 5.274758E-02
 6.600177E-04, 5.269759E-02
 7.200193E-04, 5.265090E-02
 7.800209E-04, 5.260481E-02
 8.400225E-04, 5.255871E-02
 9.000241E-04, 5.251262E-02
 9.600258E-04, 5.246652E-02
 1.020027E-03, 5.242042E-02
 1.080029E-03, 5.237433E-02
 1.140031E-03, 5.232824E-02
 1.200032E-03, 5.228214E-02
 1.260034E-03, 5.223605E-02
 1.320035E-03, 5.218995E-02
 1.380037E-03, 5.214386E-02
 1.440039E-03, 5.209776E-02
 1.500040E-03, 5.205167E-02
 1.560042E-03, 5.200557E-02
 1.620044E-03, 5.195948E-02
 1.680045E-03, 5.191339E-02
 1.740047E-03, 5.186729E-02
 1.800048E-03, 5.182119E-02
 1.860050E-03, 5.177510E-02
 1.920052E-03, 5.172901E-02
 1.980053E-03, 5.168291E-02
 2.040055E-03, 5.163682E-02
 2.100056E-03, 5.159073E-02
 2.160058E-03, 5.154463E-02
 2.220060E-03, 5.149853E-02
 2.280061E-03, 5.145244E-02
 2.340063E-03, 5.140634E-02
 2.400064E-03, 5.136025E-02
 2.460066E-03, 5.131416E-02
 2.520068E-03, 5.126806E-02
 2.580069E-03, 5.122469E-02
 2.640071E-03, 5.118140E-02
 2.700072E-03, 5.113811E-02
 2.760074E-03, 5.109482E-02
 2.820075E-03, 5.105153E-02
 2.880077E-03, 5.100825E-02
 2.940079E-03, 5.096496E-02
 3.000080E-03, 5.092167E-02
 3.060082E-03, 5.087838E-02
 3.120084E-03, 5.083510E-02
 3.180085E-03, 5.079180E-02
 3.240087E-03, 5.074852E-02
 3.300088E-03, 5.070522E-02
 3.360090E-03, 5.066194E-02
 3.420092E-03, 5.061865E-02
 3.480093E-03, 5.057536E-02
 3.540095E-03, 5.053207E-02
 3.600097E-03, 5.048878E-02
 3.660098E-03, 5.044550E-02
 3.720100E-03, 5.040221E-02
 3.780101E-03, 5.035892E-02
 3.840103E-03, 5.031563E-02
 3.900104E-03, 5.027234E-02
 3.960106E-03, 5.022905E-02
 4.020108E-03, 5.018577E-02
 4.080109E-03, 5.014248E-02
 4.140111E-03, 5.009919E-02
 4.200113E-03, 5.005590E-02
 4.260114E-03, 5.001261E-02
 4.320116E-03, 4.996932E-02
 4.380118E-03, 4.992604E-02
 4.440119E-03, 4.988275E-02
 4.500120E-03, 4.983946E-02
 4.560122E-03, 4.979618E-02
 4.620124E-03, 4.975492E-02
 4.680126E-03, 4.971365E-02
 4.740127E-03, 4.967239E-02
 4.800129E-03, 4.963112E-02
