Distance,Pressure
 0.000000E+00, 5.252864E-02
 6.000161E-05, 5.247817E-02
 1.200032E-04, 5.242770E-02
 1.800048E-04, 5.237722E-02
 2.400064E-04, 5.232674E-02
 3.000080E-04, 5.227627E-02
 3.600096E-04, 5.222579E-02
 4.200113E-04, 5.217532E-02
 4.800129E-04, 5.212484E-02
 5.400145E-04, 5.207437E-02
 6.000161E-04, 5.202389E-02
 6.600177E-04, 5.197342E-02
 7.200193E-04, 5.192654E-02
 7.800209E-04, 5.188032E-02
 8.400225E-04, 5.183410E-02
 9.000241E-04, 5.178787E-02
 9.600258E-04, 5.174165E-02
 1.020027E-03, 5.169542E-02
 1.080029E-03, 5.164920E-02
 1.140031E-03, 5.160297E-02
 1.200032E-03, 5.155675E-02
 1.260034E-03, 5.151053E-02
 1.320035E-03, 5.146430E-02
 1.380037E-03, 5.141808E-02
 1.440039E-03, 5.137185E-02
 1.500040E-03, 5.132563E-02
 1.560042E-03, 5.127940E-02
 1.620044E-03, 5.123318E-02
 1.680045E-03, 5.118696E-02
 1.740047E-03, 5.114073E-02
 1.800048E-03, 5.109451E-02
 1.860050E-03, 5.104828E-02
 1.920052E-03, 5.100206E-02
 1.980053E-03, 5.095583E-02
 2.040055E-03, 5.090961E-02
 2.100056E-03, 5.086339E-02
 2.160058E-03, 5.081716E-02
 2.220060E-03, 5.077094E-02
 2.280061E-03, 5.072471E-02
 2.340063E-03, 5.067849E-02
 2.400064E-03, 5.063226E-02
 2.460066E-03, 5.058604E-02
 2.520068E-03, 5.053981E-02
 2.580069E-03, 5.049649E-02
 2.640071E-03, 5.045326E-02
 2.700072E-03, 5.041003E-02
 2.760074E-03, 5.036680E-02
 2.820075E-03, 5.032357E-02
 2.880077E-03, 5.028034E-02
 2.940079E-03, 5.023710E-02
 3.000080E-03, 5.019387E-02
 3.060082E-03, 5.015064E-02
 3.120084E-03, 5.010741E-02
 3.180085E-03, 5.006418E-02
 3.240087E-03, 5.002095E-02
 3.300088E-03, 4.997772E-02
 3.360090E-03, 4.993448E-02
 3.420092E-03, 4.989125E-02
 3.480093E-03, 4.984802E-02
 3.540095E-03, 4.980479E-02
 3.600097E-03, 4.976156E-02
 3.660098E-03, 4.971832E-02
 3.720100E-03, 4.967509E-02
 3.780101E-03, 4.963186E-02
 3.840103E-03, 4.958863E-02
 3.900104E-03, 4.954540E-02
 3.960106E-03, 4.950216E-02
 4.020108E-03, 4.945893E-02
 4.080109E-03, 4.941570E-02
 4.140111E-03, 4.937247E-02
 4.200113E-03, 4.932924E-02
 4.260114E-03, 4.928601E-02
 4.320116E-03, 4.924278E-02
 4.380118E-03, 4.919954E-02
 4.440119E-03, 4.915631E-02
 4.500120E-03, 4.911308E-02
 4.560122E-03, 4.906986E-02
 4.620124E-03, 4.902876E-02
 4.680126E-03, 4.898765E-02
 4.740127E-03, 4.894655E-02
 4.800129E-03, 4.890544E-02
 4.860130E-03, 4.886433E-02
 4.920132E-03, 4.882323E-02
 4.980133E-03, 4.878213E-02
 5.040135E-03, 4.874102E-02
 5.100137E-03, 4.869992E-02
 5.160138E-03, 4.865881E-02
 5.220140E-03, 4.861771E-02
 5.280142E-03, 4.857660E-02
 5.340143E-03, 4.853549E-02
 5.400145E-03, 4.849439E-02
 5.460146E-03, 4.845329E-02
 5.520148E-03, 4.841218E-02
 5.580150E-03, 4.837107E-02
 5.640151E-03, 4.832997E-02
 5.700153E-03, 4.828887E-02
 5.760154E-03, 4.824775E-02
 5.820156E-03, 4.820665E-02
 5.880157E-03, 4.816554E-02
 5.940159E-03, 4.812444E-02
 6.000161E-03, 4.808334E-02
 6.060163E-03, 4.804223E-02
 6.120164E-03, 4.800113E-02
 6.180166E-03, 4.796002E-02
 6.240167E-03, 4.791892E-02
 6.300169E-03, 4.787781E-02
 6.360170E-03, 4.783670E-02
 6.420172E-03, 4.779560E-02
 6.480174E-03, 4.775449E-02
 6.540175E-03, 4.771339E-02
 6.600177E-03, 4.767228E-02
 6.660179E-03, 4.763118E-02
 6.720180E-03, 4.759007E-02
 6.780182E-03, 4.754897E-02
 6.840183E-03, 4.750886E-02
 6.900185E-03, 4.746931E-02
 6.960187E-03, 4.742976E-02
 7.020188E-03, 4.739020E-02
 7.080190E-03, 4.735065E-02
 7.140191E-03, 4.731109E-02
 7.200193E-03, 4.727154E-02
 7.260195E-03, 4.723198E-02
 7.320196E-03, 4.719243E-02
 7.380198E-03, 4.715288E-02
 7.440200E-03, 4.711333E-02
 7.500201E-03, 4.707377E-02
 7.560202E-03, 4.703422E-02
 7.620204E-03, 4.699466E-02
 7.680206E-03, 4.695511E-02
 7.740207E-03, 4.691555E-02
 7.800209E-03, 4.687600E-02
 7.860211E-03, 4.683645E-02
 7.920212E-03, 4.679690E-02
 7.980214E-03, 4.675734E-02
 8.040216E-03, 4.671779E-02
 8.100217E-03, 4.667823E-02
 8.160219E-03, 4.663868E-02
 8.220220E-03, 4.659913E-02
 8.280222E-03, 4.655957E-02
 8.340224E-03, 4.652002E-02
 8.400225E-03, 4.648046E-02
 8.460226E-03, 4.644091E-02
 8.520229E-03, 4.640136E-02
 8.580230E-03, 4.636180E-02
 8.640232E-03, 4.632225E-02
 8.700233E-03, 4.628269E-02
 8.760235E-03, 4.624314E-02
 8.820237E-03, 4.620359E-02
 8.880238E-03, 4.616403E-02
 8.940239E-03, 4.612448E-02
 9.000241E-03, 4.608493E-02
 9.060243E-03, 4.604537E-02
 9.120245E-03, 4.600582E-02
