Distance,Pressure
 0.000000E+00, 5.106751E-02
 6.000161E-05, 5.101314E-02
 1.200032E-04, 5.095877E-02
 1.800048E-04, 5.090439E-02
 2.400064E-04, 5.085002E-02
 3.000080E-04, 5.079564E-02
 3.600096E-04, 5.074127E-02
 4.200113E-04, 5.068690E-02
 4.800129E-04, 5.063253E-02
 5.400145E-04, 5.057816E-02
 6.000161E-04, 5.052378E-02
 6.600177E-04, 5.046941E-02
 7.200193E-04, 5.041846E-02
 7.800209E-04, 5.036812E-02
 8.400225E-04, 5.031778E-02
 9.000241E-04, 5.026744E-02
 9.600258E-04, 5.021711E-02
 1.020027E-03, 5.016677E-02
 1.080029E-03, 5.011643E-02
 1.140031E-03, 5.006610E-02
 1.200032E-03, 5.001576E-02
 1.260034E-03, 4.996543E-02
 1.320035E-03, 4.991509E-02
 1.380037E-03, 4.986475E-02
 1.440039E-03, 4.981442E-02
 1.500040E-03, 4.976408E-02
 1.560042E-03, 4.971375E-02
 1.620044E-03, 4.966341E-02
 1.680045E-03, 4.961307E-02
 1.740047E-03, 4.956273E-02
 1.800048E-03, 4.951239E-02
 1.860050E-03, 4.946206E-02
 1.920052E-03, 4.941172E-02
 1.980053E-03, 4.936139E-02
 2.040055E-03, 4.931105E-02
 2.100056E-03, 4.926072E-02
 2.160058E-03, 4.921037E-02
 2.220060E-03, 4.916004E-02
 2.280061E-03, 4.910970E-02
 2.340063E-03, 4.905936E-02
 2.400064E-03, 4.900903E-02
 2.460066E-03, 4.895869E-02
 2.520068E-03, 4.890836E-02
 2.580069E-03, 4.886176E-02
 2.640071E-03, 4.881527E-02
 2.700072E-03, 4.876879E-02
 2.760074E-03, 4.872230E-02
 2.820075E-03, 4.867582E-02
 2.880077E-03, 4.862934E-02
 2.940079E-03, 4.858284E-02
 3.000080E-03, 4.853636E-02
 3.060082E-03, 4.848988E-02
 3.120084E-03, 4.844339E-02
 3.180085E-03, 4.839691E-02
 3.240087E-03, 4.835042E-02
 3.300088E-03, 4.830394E-02
 3.360090E-03, 4.825745E-02
 3.420092E-03, 4.821097E-02
