Distance,Pressure
 0.000000E+00, 5.298766E-02
 6.000161E-05, 5.293761E-02
 1.200032E-04, 5.288757E-02
 1.800048E-04, 5.283752E-02
 2.400064E-04, 5.278748E-02
 3.000080E-04, 5.273743E-02
 3.600096E-04, 5.268739E-02
 4.200113E-04, 5.263734E-02
 4.800129E-04, 5.258729E-02
 5.400145E-04, 5.253725E-02
 6.000161E-04, 5.248720E-02
 6.600177E-04, 5.243716E-02
 7.200193E-04, 5.239046E-02
 7.800209E-04, 5.234437E-02
 8.400225E-04, 5.229829E-02
 9.000241E-04, 5.225219E-02
 9.600258E-04, 5.220611E-02
 1.020027E-03, 5.216002E-02
 1.080029E-03, 5.211393E-02
 1.140031E-03, 5.206784E-02
 1.200032E-03, 5.202175E-02
 1.260034E-03, 5.197566E-02
 1.320035E-03, 5.192957E-02
 1.380037E-03, 5.188348E-02
 1.440039E-03, 5.183738E-02
 1.500040E-03, 5.179130E-02
 1.560042E-03, 5.174521E-02
 1.620044E-03, 5.169912E-02
 1.680045E-03, 5.165303E-02
 1.740047E-03, 5.160694E-02
 1.800048E-03, 5.156085E-02
 1.860050E-03, 5.151476E-02
 1.920052E-03, 5.146867E-02
 1.980053E-03, 5.142258E-02
 2.040055E-03, 5.137649E-02
 2.100056E-03, 5.133040E-02
 2.160058E-03, 5.128431E-02
 2.220060E-03, 5.123822E-02
 2.280061E-03, 5.119213E-02
 2.340063E-03, 5.114604E-02
 2.400064E-03, 5.109996E-02
 2.460066E-03, 5.105387E-02
 2.520068E-03, 5.100778E-02
 2.580069E-03, 5.096444E-02
 2.640071E-03, 5.092119E-02
 2.700072E-03, 5.087794E-02
 2.760074E-03, 5.083469E-02
 2.820075E-03, 5.079143E-02
 2.880077E-03, 5.074818E-02
 2.940079E-03, 5.070493E-02
 3.000080E-03, 5.066168E-02
 3.060082E-03, 5.061843E-02
 3.120084E-03, 5.057518E-02
 3.180085E-03, 5.053193E-02
 3.240087E-03, 5.048868E-02
 3.300088E-03, 5.044542E-02
 3.360090E-03, 5.040217E-02
 3.420092E-03, 5.035892E-02
 3.480093E-03, 5.031567E-02
 3.540095E-03, 5.027242E-02
 3.600097E-03, 5.022917E-02
 3.660098E-03, 5.018592E-02
 3.720100E-03, 5.014267E-02
 3.780101E-03, 5.009942E-02
 3.840103E-03, 5.005617E-02
 3.900104E-03, 5.001292E-02
 3.960106E-03, 4.996966E-02
 4.020108E-03, 4.992641E-02
 4.080109E-03, 4.988316E-02
 4.140111E-03, 4.983991E-02
 4.200113E-03, 4.979666E-02
 4.260114E-03, 4.975341E-02
 4.320116E-03, 4.971016E-02
 4.380118E-03, 4.966690E-02
 4.440119E-03, 4.962365E-02
 4.500120E-03, 4.958040E-02
 4.560122E-03, 4.953716E-02
 4.620124E-03, 4.949595E-02
 4.680126E-03, 4.945475E-02
 4.740127E-03, 4.941355E-02
 4.800129E-03, 4.937234E-02
 4.860130E-03, 4.933113E-02
 4.920132E-03, 4.928993E-02
 4.980133E-03, 4.924872E-02
 5.040135E-03, 4.920752E-02
 5.100137E-03, 4.916631E-02
 5.160138E-03, 4.912511E-02
 5.220140E-03, 4.908390E-02
 5.280142E-03, 4.904269E-02
 5.340143E-03, 4.900149E-02
 5.400145E-03, 4.896028E-02
 5.460146E-03, 4.891907E-02
 5.520148E-03, 4.887787E-02
 5.580150E-03, 4.883666E-02
 5.640151E-03, 4.879545E-02
 5.700153E-03, 4.875425E-02
 5.760154E-03, 4.871304E-02
 5.820156E-03, 4.867184E-02
 5.880157E-03, 4.863063E-02
 5.940159E-03, 4.858943E-02
 6.000161E-03, 4.854822E-02
 6.060163E-03, 4.850701E-02
 6.120164E-03, 4.846581E-02
 6.180166E-03, 4.842460E-02
 6.240167E-03, 4.838340E-02
 6.300169E-03, 4.834219E-02
 6.360170E-03, 4.830098E-02
 6.420172E-03, 4.825978E-02
 6.480174E-03, 4.821857E-02
 6.540175E-03, 4.817737E-02
 6.600177E-03, 4.813616E-02
 6.660179E-03, 4.809495E-02
 6.720180E-03, 4.805375E-02
 6.780182E-03, 4.801255E-02
 6.840183E-03, 4.797231E-02
 6.900185E-03, 4.793260E-02
 6.960187E-03, 4.789290E-02
 7.020188E-03, 4.785319E-02
 7.080190E-03, 4.781349E-02
 7.140191E-03, 4.777379E-02
 7.200193E-03, 4.773408E-02
 7.260195E-03, 4.769437E-02
 7.320196E-03, 4.765467E-02
 7.380198E-03, 4.761497E-02
 7.440200E-03, 4.757526E-02
 7.500201E-03, 4.753556E-02
 7.560202E-03, 4.749585E-02
 7.620204E-03, 4.745615E-02
 7.680206E-03, 4.741644E-02
 7.740207E-03, 4.737674E-02
 7.800209E-03, 4.733703E-02
 7.860211E-03, 4.729732E-02
 7.920212E-03, 4.725762E-02
 7.980214E-03, 4.721792E-02
 8.040216E-03, 4.717821E-02
 8.100217E-03, 4.713851E-02
 8.160219E-03, 4.709880E-02
 8.220220E-03, 4.705910E-02
 8.280222E-03, 4.701939E-02
 8.340224E-03, 4.697969E-02
 8.400225E-03, 4.693998E-02
 8.460226E-03, 4.690028E-02
 8.520229E-03, 4.686058E-02
 8.580230E-03, 4.682087E-02
 8.640232E-03, 4.678117E-02
 8.700233E-03, 4.674146E-02
 8.760235E-03, 4.670175E-02
 8.820237E-03, 4.666205E-02
 8.880238E-03, 4.662234E-02
 8.940239E-03, 4.658264E-02
 9.000241E-03, 4.654294E-02
 9.060243E-03, 4.650323E-02
 9.120245E-03, 4.646353E-02
 9.180246E-03, 4.642382E-02
 9.240247E-03, 4.638412E-02
 9.300249E-03, 4.634502E-02
 9.360251E-03, 4.630644E-02
 9.420252E-03, 4.626784E-02
 9.480254E-03, 4.622925E-02
 9.540256E-03, 4.619067E-02
 9.600258E-03, 4.615208E-02
 9.660259E-03, 4.611349E-02
 9.720260E-03, 4.607490E-02
 9.780263E-03, 4.603631E-02
 9.840264E-03, 4.599773E-02
 9.900265E-03, 4.595914E-02
 9.960267E-03, 4.592055E-02
 1.002027E-02, 4.588196E-02
 1.008027E-02, 4.584337E-02
 1.014027E-02, 4.580478E-02
 1.020027E-02, 4.576619E-02
 1.026028E-02, 4.572761E-02
 1.032028E-02, 4.568902E-02
 1.038028E-02, 4.565043E-02
 1.044028E-02, 4.561184E-02
 1.050028E-02, 4.557325E-02
 1.056028E-02, 4.553466E-02
 1.062028E-02, 4.549608E-02
 1.068029E-02, 4.545749E-02
 1.074029E-02, 4.541890E-02
 1.080029E-02, 4.538031E-02
 1.086029E-02, 4.534172E-02
 1.092029E-02, 4.530313E-02
 1.098029E-02, 4.526455E-02
 1.104030E-02, 4.522596E-02
 1.110030E-02, 4.518737E-02
 1.116030E-02, 4.514878E-02
 1.122030E-02, 4.511019E-02
 1.128030E-02, 4.507161E-02
 1.134030E-02, 4.503302E-02
 1.140031E-02, 4.499443E-02
 1.146031E-02, 4.495584E-02
