 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
    50,  8.678665E-01,  1.405418E-02, -8.677527E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.387824E-05, -6.919348E-05,  5.259573E-03,  5.000000E-01
   100,  1.459164E+00,  1.790337E-02, -1.459054E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.093361E-05,  1.466383E-08,  6.093947E-04,  5.000000E-01
   150,  2.226412E+00,  7.556363E-03, -2.226399E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.692477E-06, -1.923987E-05,  6.290196E-03,  5.000000E-01
   200,  2.814048E+00, -7.495910E-03, -2.814038E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.935249E-06, -2.372439E-05, -9.298014E-03,  5.000000E-01
   250,  3.002067E+00, -2.361451E-02, -3.001974E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.246091E-07, -4.425004E-05, -5.611340E-03,  5.000000E-01
   300,  3.082242E+00, -2.885184E-02, -3.082107E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -5.084615E-06, -1.811245E-05, -1.758653E-03,  5.000000E-01
   350,  3.184188E+00, -1.283760E-02, -3.184162E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.575053E-06,  2.735813E-05,  7.142368E-03,  5.000000E-01
   400,  3.380252E+00,  4.412325E-03, -3.380249E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.069333E-06,  1.963416E-05, -1.528396E-02,  5.000000E-01
   450,  3.559470E+00,  7.603195E-03, -3.559462E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.347292E-07, -2.049597E-05,  9.563563E-03,  5.000000E-01
   500,  3.590305E+00,  1.031711E-02, -3.590290E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.993158E-07, -2.608318E-05,  8.989394E-03,  5.000000E-01
   550,  3.512699E+00,  1.609112E-02, -3.512662E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.006639E-06, -1.578116E-05,  3.382193E-03,  5.000000E-01
   600,  3.431192E+00,  1.781878E-02, -3.431146E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.490015E-07, -2.078321E-05,  3.954533E-03,  5.000000E-01
   650,  3.389729E+00,  1.082854E-02, -3.389712E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.040043E-06, -3.394570E-05,  1.053016E-02,  5.000000E-01
   700,  3.379252E+00,  4.025205E-03, -3.379250E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.226939E-06, -2.953037E-05,  2.448588E-02,  5.000000E-01
   750,  3.378713E+00,  9.369348E-04, -3.378713E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.668680E-07, -2.129412E-05,  7.575632E-02,  5.000000E-01
   800,  3.377491E+00, -9.195246E-04, -3.377491E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.929115E-07, -2.028001E-05, -7.373259E-02,  5.000000E-01
   850,  3.373748E+00, -7.849706E-04, -3.373747E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.317150E-07, -1.838974E-05, -7.823195E-02,  5.000000E-01
   900,  3.370024E+00,  2.090477E-03, -3.370023E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.128713E-07, -1.499257E-05,  2.387732E-02,  5.000000E-01
   950,  3.367860E+00,  5.259741E-03, -3.367856E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.105487E-07, -1.560013E-05,  9.872390E-03,  5.000000E-01
  1000,  3.367090E+00,  7.254318E-03, -3.367082E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -7.023804E-07, -1.768721E-05,  8.112784E-03,  5.000000E-01
  1050,  3.366933E+00,  8.265052E-03, -3.366923E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.060002E-07, -1.879420E-05,  7.558404E-03,  5.000000E-01
