 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 1.000000E-01,    10,  6.736419E-01,  9.394114E-06, -6.736419E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.782358E-08,  8.214234E-07, -6.099511E-02,  5.000000E-01
 2.000000E-01,    20,  1.714444E+00,  1.744249E-05, -1.714444E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.111686E-08,  1.939248E-07, -1.899884E-02,  5.000000E-01
 3.000000E-01,    30,  3.286653E+00,  1.110602E-04, -3.286653E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.539337E-08,  2.419316E-07, -7.359652E-03,  5.000000E-01
 4.000002E-01,    40,  3.890893E+00,  3.179002E-04, -3.890893E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -7.281384E-08,  1.325850E-06, -1.643449E-02,  5.000000E-01
 5.000001E-01,    50,  3.489579E+00,  3.648158E-04, -3.489579E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.636367E-07,  2.736627E-06, -2.663476E-02,  5.000000E-01
 6.000002E-01,    60,  3.071290E+00,  3.204762E-04, -3.071290E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.512048E-07,  3.242978E-06, -3.152519E-02,  5.000000E-01
 7.000003E-01,    70,  2.855053E+00,  2.477279E-04, -2.855053E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.317523E-07,  2.898218E-06, -3.389721E-02,  5.000000E-01
 8.000003E-01,    80,  2.771636E+00,  8.444847E-05, -2.771636E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.152732E-07,  1.935407E-06, -6.478616E-02,  5.000000E-01
 9.000002E-01,    90,  2.736806E+00, -2.959328E-04, -2.736806E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.013662E-07,  6.705201E-07,  6.635149E-03,  5.000000E-01
 1.000000E+00,   100,  2.713090E+00, -9.674433E-04, -2.713089E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.085067E-07, -7.179702E-07, -1.896280E-03,  5.000000E-01
 1.100000E+00,   110,  2.689353E+00, -1.949438E-03, -2.689353E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.282852E-07, -2.046681E-06, -2.752122E-03,  5.000000E-01
 1.200001E+00,   120,  2.669160E+00, -3.140198E-03, -2.669158E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.528475E-07, -3.237865E-06, -2.704308E-03,  5.000000E-01
 1.300001E+00,   130,  2.653575E+00, -4.434249E-03, -2.653572E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.525810E-07, -4.123899E-06, -2.435555E-03,  5.000000E-01
 1.400001E+00,   140,  2.645922E+00, -5.583564E-03, -2.645916E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.006330E-07, -4.899447E-06, -2.302716E-03,  5.000000E-01
 1.500001E+00,   150,  2.640923E+00, -6.229189E-03, -2.640915E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.003571E-08, -4.862523E-06, -2.055523E-03,  5.000000E-01
 1.600001E+00,   160,  2.640713E+00, -6.227303E-03, -2.640705E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.040072E-08, -3.782220E-06, -1.613903E-03,  5.000000E-01
 1.700001E+00,   170,  2.643909E+00, -5.459344E-03, -2.643903E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.887993E-07, -2.791399E-06, -1.386436E-03,  5.000000E-01
 1.800001E+00,   180,  2.647863E+00, -3.920472E-03, -2.647860E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.246685E-07, -1.874281E-06, -1.348298E-03,  5.000000E-01
 1.900001E+00,   190,  2.651555E+00, -1.868883E-03, -2.651554E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.126526E-07, -8.346605E-07, -1.408553E-03,  5.000000E-01
 2.000001E+00,   200,  2.657730E+00,  2.948429E-04, -2.657730E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.323679E-07, -1.046529E-07,  2.399553E-03,  5.000000E-01
 2.100002E+00,   210,  2.665369E+00,  2.142693E-03, -2.665368E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.817657E-07,  5.901835E-09,  1.658858E-04,  5.000000E-01
 2.200002E+00,   220,  2.674520E+00,  3.287902E-03, -2.674517E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.651149E-07, -4.995979E-07,  4.883828E-04,  5.000000E-01
 2.300002E+00,   230,  2.684094E+00,  3.569955E-03, -2.684092E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.016080E-07, -1.430960E-06,  1.103871E-03,  5.000000E-01
 2.400002E+00,   240,  2.694168E+00,  2.998707E-03, -2.694166E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.013811E-08, -2.564857E-06,  2.277679E-03,  5.000000E-01
 2.500002E+00,   250,  2.704411E+00,  1.837854E-03, -2.704410E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.375273E-07, -3.518369E-06,  5.052616E-03,  5.000000E-01
 2.600002E+00,   260,  2.715256E+00,  4.438632E-04, -2.715256E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.225494E-07, -4.163641E-06,  2.474445E-02,  5.000000E-01
 2.700002E+00,   270,  2.726929E+00, -7.427349E-04, -2.726929E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.238601E-07, -4.372987E-06, -1.560839E-02,  5.000000E-01
 2.800003E+00,   280,  2.739342E+00, -1.532758E-03, -2.739341E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.573333E-07, -4.156842E-06, -7.258817E-03,  5.000000E-01
 2.900002E+00,   290,  2.751426E+00, -1.611863E-03, -2.751426E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.588237E-07, -3.297066E-06, -5.533867E-03,  5.000000E-01
 3.000003E+00,   300,  2.763009E+00, -9.931851E-04, -2.763009E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -5.839707E-08, -2.406599E-06, -6.626363E-03,  5.000000E-01
 3.100003E+00,   310,  2.774458E+00,  1.716466E-04, -2.774458E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.761765E-09, -1.625423E-06,  2.632551E-02,  5.000000E-01
 3.200003E+00,   320,  2.785431E+00,  1.554116E-03, -2.785431E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.944699E-08, -1.277121E-06,  2.310291E-03,  5.000000E-01
 3.300003E+00,   330,  2.795878E+00,  2.764483E-03, -2.795877E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.122711E-08, -1.493314E-06,  1.508827E-03,  5.000000E-01
 3.400003E+00,   340,  2.806015E+00,  3.472201E-03, -2.806013E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.019697E-07, -2.149344E-06,  1.706356E-03,  5.000000E-01
 3.500003E+00,   350,  2.815903E+00,  3.460422E-03, -2.815901E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.154267E-07, -3.167721E-06,  2.514423E-03,  5.000000E-01
 3.600003E+00,   360,  2.825346E+00,  2.718304E-03, -2.825345E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.202412E-07, -4.322021E-06,  4.373143E-03,  5.000000E-01
 3.700004E+00,   370,  2.834575E+00,  1.474800E-03, -2.834574E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.824395E-07, -5.211410E-06,  9.754029E-03,  5.000000E-01
 3.800004E+00,   380,  2.843614E+00,  3.777392E-05, -2.843614E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.851071E-07, -5.709318E-06,  4.194222E-01,  5.000000E-01
 3.900004E+00,   390,  2.852155E+00, -1.149506E-03, -2.852155E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.222889E-07, -5.587152E-06, -1.357820E-02,  5.000000E-01
 4.000004E+00,   400,  2.860793E+00, -1.782327E-03, -2.860793E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.147404E-07, -5.023783E-06, -7.941528E-03,  5.000000E-01
 4.100004E+00,   410,  2.869124E+00, -1.655758E-03, -2.869123E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.520476E-08, -4.171828E-06, -7.175087E-03,  5.000000E-01
 4.200004E+00,   420,  2.877331E+00, -7.844863E-04, -2.877331E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.591596E-08, -3.251854E-06, -1.196296E-02,  5.000000E-01
 4.300004E+00,   430,  2.885314E+00,  5.928176E-04, -2.885314E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.936389E-08, -2.536169E-06,  1.250455E-02,  5.000000E-01
 4.400004E+00,   440,  2.893286E+00,  2.089486E-03, -2.893286E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.496125E-08, -2.227693E-06,  3.127388E-03,  5.000000E-01
 4.500005E+00,   450,  2.900981E+00,  3.269633E-03, -2.900979E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.890041E-08, -2.609809E-06,  2.322143E-03,  5.000000E-01
 4.600005E+00,   460,  2.908598E+00,  3.808890E-03, -2.908596E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.836108E-08, -3.548783E-06,  2.687334E-03,  5.000000E-01
 4.700005E+00,   470,  2.915798E+00,  3.535956E-03, -2.915796E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.058428E-07, -4.744240E-06,  3.853428E-03,  5.000000E-01
 4.800005E+00,   480,  2.923444E+00,  2.577453E-03, -2.923443E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.154581E-07, -5.763984E-06,  6.415705E-03,  5.000000E-01
 4.900005E+00,   490,  2.930548E+00,  1.129933E-03, -2.930548E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.856406E-07, -6.205244E-06,  1.575215E-02,  5.000000E-01
 5.000005E+00,   500,  2.937984E+00, -4.126925E-04, -2.937984E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.812072E-07, -6.268575E-06, -4.366648E-02,  5.000000E-01
 5.100005E+00,   510,  2.945356E+00, -1.641857E-03, -2.945356E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.300707E-07, -5.612912E-06, -9.862114E-03,  5.000000E-01
