 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 5.000000E-01,    10,  2.204360E+01, -1.664669E-03, -2.204360E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.512516E-07,  6.617241E-08,  1.161748E-03,  5.000000E-01
 1.000000E+00,    20,  2.222124E+01, -1.378010E-03, -2.222124E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.899106E-07, -1.031500E-06, -1.732751E-02,  5.000000E-01
 1.500000E+00,    30,  2.403933E+01,  4.303001E-03, -2.403933E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.485689E-07, -3.025275E-06,  1.668283E-02,  5.000000E-01
 2.000000E+00,    40,  2.639771E+01,  6.316806E-03, -2.639771E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.040567E-06, -3.988278E-06,  1.650986E-02,  5.000000E-01
 2.500000E+00,    50,  2.905811E+01,  1.038467E-02, -2.905811E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.934759E-07, -5.604107E-06,  1.570969E-02,  5.000000E-01
 3.000001E+00,    60,  3.166223E+01,  1.139905E-02, -3.166223E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.845439E-07, -6.035757E-06,  1.681891E-02,  5.000000E-01
 3.500001E+00,    70,  3.373719E+01,  1.299087E-02, -3.373718E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.924504E-07, -6.679607E-06,  1.741776E-02,  5.000000E-01
 4.000002E+00,    80,  3.514614E+01,  1.046885E-02, -3.514613E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.307397E-07, -5.670772E-06,  1.897300E-02,  5.000000E-01
 4.500002E+00,    90,  3.602287E+01,  9.642820E-03, -3.602286E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.691269E-07, -5.538765E-06,  2.059515E-02,  5.000000E-01
 5.000003E+00,   100,  3.657238E+01,  6.890796E-03, -3.657238E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.983211E-06, -4.469970E-06,  2.343679E-02,  5.000000E-01
 5.500003E+00,   110,  3.687544E+01,  7.860491E-03, -3.687544E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.936680E-06, -4.605875E-06,  2.135843E-02,  5.000000E-01
 6.000003E+00,   120,  3.703440E+01,  6.187062E-03, -3.703440E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.417845E-06, -4.361227E-06,  2.571733E-02,  5.000000E-01
 6.500004E+00,   130,  3.717360E+01,  5.198560E-03, -3.717360E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.726353E-06, -4.017541E-06,  2.820964E-02,  5.000000E-01
 7.000005E+00,   140,  3.717845E+01,  4.684366E-03, -3.717845E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.845600E-06, -3.835960E-06,  2.984053E-02,  5.000000E-01
 7.500006E+00,   150,  3.718188E+01,  4.560147E-03, -3.718188E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.892938E-06, -3.752205E-06,  2.994871E-02,  5.000000E-01
 8.000005E+00,   160,  3.717931E+01,  4.736324E-03, -3.717931E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.847318E-06, -3.762235E-06,  2.891858E-02,  5.000000E-01
 8.500005E+00,   170,  3.717496E+01,  5.256749E-03, -3.717496E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.897739E-06, -3.750194E-06,  2.596953E-02,  5.000000E-01
 9.000006E+00,   180,  3.717365E+01,  4.822052E-03, -3.717365E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.927263E-06, -3.813844E-06,  2.879209E-02,  5.000000E-01
 9.500006E+00,   190,  3.717420E+01,  4.393637E-03, -3.717420E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.916280E-06, -3.741045E-06,  3.099445E-02,  5.000000E-01
