 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 1.860005E+00,   310,  2.649368E+00, -2.926593E-03, -2.649367E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.256337E-07, -1.559741E-06, -1.557165E-03,  5.000000E-01
 1.920006E+00,   320,  2.652380E+00, -1.622088E-03, -2.652380E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.604539E-07, -9.628322E-07, -1.852192E-03,  5.000000E-01
 1.980006E+00,   330,  2.656113E+00, -3.005680E-04, -2.656113E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.658035E-07, -4.993175E-07, -5.928744E-03,  5.000000E-01
 2.040006E+00,   340,  2.660519E+00,  9.309313E-04, -2.660519E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.452721E-07, -2.373620E-07,  1.181384E-03,  5.000000E-01
 2.100005E+00,   350,  2.665556E+00,  1.982316E-03, -2.665556E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.907639E-07, -1.928475E-07,  4.573344E-04,  5.000000E-01
 2.160004E+00,   360,  2.671109E+00,  2.771691E-03, -2.671107E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.143436E-07, -3.450752E-07,  4.466972E-04,  5.000000E-01
 2.220004E+00,   370,  2.676981E+00,  3.250769E-03, -2.676979E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.201848E-07, -6.850186E-07,  6.298377E-04,  5.000000E-01
 2.280003E+00,   380,  2.682977E+00,  3.399606E-03, -2.682975E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.086182E-07, -1.158029E-06,  9.491451E-04,  5.000000E-01
 2.340002E+00,   390,  2.688996E+00,  3.230755E-03, -2.688994E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.318219E-08, -1.729128E-06,  1.434526E-03,  5.000000E-01
 2.400002E+00,   400,  2.695001E+00,  2.786361E-03, -2.694999E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.329545E-07, -2.307037E-06,  2.184239E-03,  5.000000E-01
 2.460001E+00,   410,  2.701120E+00,  2.130854E-03, -2.701119E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.394779E-07, -2.850803E-06,  3.497902E-03,  5.000000E-01
 2.520000E+00,   420,  2.707475E+00,  1.352643E-03, -2.707474E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.205506E-07, -3.300308E-06,  6.374408E-03,  5.000000E-01
 2.580000E+00,   430,  2.714127E+00,  5.457941E-04, -2.714127E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.709677E-07, -3.647533E-06,  1.745812E-02,  5.000000E-01
 2.639999E+00,   440,  2.721084E+00, -1.971983E-04, -2.721084E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.821001E-07, -3.837837E-06, -5.106309E-02,  5.000000E-01
 2.699998E+00,   450,  2.728266E+00, -7.937092E-04, -2.728266E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.627900E-07, -3.866000E-06, -1.284005E-02,  5.000000E-01
 2.759998E+00,   460,  2.735569E+00, -1.183229E-03, -2.735569E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.138856E-07, -3.767654E-06, -8.438999E-03,  5.000000E-01
 2.819997E+00,   470,  2.742890E+00, -1.327848E-03, -2.742889E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.429750E-07, -3.551171E-06, -7.151364E-03,  5.000000E-01
 2.879996E+00,   480,  2.750158E+00, -1.212410E-03, -2.750158E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.652342E-07, -3.244916E-06, -7.224087E-03,  5.000000E-01
 2.939996E+00,   490,  2.757322E+00, -8.550925E-04, -2.757322E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.734360E-08, -2.899437E-06, -9.237161E-03,  5.000000E-01
 2.999995E+00,   500,  2.764339E+00, -3.052402E-04, -2.764339E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.922756E-08, -2.584557E-06, -2.336786E-02,  5.000000E-01
 3.059994E+00,   510,  2.771185E+00,  3.782437E-04, -2.771185E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.884945E-08, -2.322173E-06,  1.707379E-02,  5.000000E-01
 3.119994E+00,   520,  2.777861E+00,  1.113956E-03, -2.777861E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.998417E-08, -2.130117E-06,  5.350191E-03,  5.000000E-01
 3.179993E+00,   530,  2.784376E+00,  1.816118E-03, -2.784375E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  4.260675E-08, -2.044213E-06,  3.160943E-03,  5.000000E-01
 3.239992E+00,   540,  2.790730E+00,  2.405778E-03, -2.790729E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.257708E-09, -2.097255E-06,  2.438436E-03,  5.000000E-01
 3.299992E+00,   550,  2.796923E+00,  2.821888E-03, -2.796922E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.995375E-08, -2.256288E-06,  2.216732E-03,  5.000000E-01
 3.359992E+00,   560,  2.802979E+00,  3.019740E-03, -2.802977E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.240853E-07, -2.485266E-06,  2.264645E-03,  5.000000E-01
 3.419990E+00,   570,  2.808930E+00,  2.977286E-03, -2.808928E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.104612E-07, -2.796468E-06,  2.566378E-03,  5.000000E-01
 3.479990E+00,   580,  2.814780E+00,  2.699706E-03, -2.814778E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.916487E-07, -3.190893E-06,  3.222423E-03,  5.000000E-01
 3.539989E+00,   590,  2.820523E+00,  2.224363E-03, -2.820522E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.631884E-07, -3.606469E-06,  4.404809E-03,  5.000000E-01
 3.599988E+00,   600,  2.826162E+00,  1.606820E-03, -2.826161E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.112117E-07, -3.992533E-06,  6.764495E-03,  5.000000E-01
 3.659988E+00,   610,  2.831698E+00,  9.182175E-04, -2.831698E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.383251E-07, -4.332539E-06,  1.287600E-02,  5.000000E-01
 3.719987E+00,   620,  2.837133E+00,  2.357216E-04, -2.837133E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.336225E-07, -4.580468E-06,  5.331306E-02,  5.000000E-01
 3.779986E+00,   630,  2.842470E+00, -3.650845E-04, -2.842470E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.988408E-07, -4.723285E-06, -3.566469E-02,  5.000000E-01
 3.839986E+00,   640,  2.847718E+00, -8.144169E-04, -2.847718E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.424207E-07, -4.747820E-06, -1.617781E-02,  5.000000E-01
