 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
    50,  9.215513E-01,  3.583969E-02, -9.208541E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.447054E-05,  7.820469E-05, -1.326590E-03,  5.000000E-01
   100,  1.407791E+00,  5.445134E-02, -1.406738E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.265353E-05,  1.366893E-04, -3.115305E-03,  5.000000E-01
   150,  2.136568E+00,  4.733147E-02, -2.136043E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.249010E-05,  5.958500E-06, -5.018012E-06,  5.000000E-01
   200,  2.696431E+00,  2.115517E-02, -2.696348E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.002987E-05, -5.922707E-05,  8.022939E-03,  5.000000E-01
   250,  3.036796E+00, -1.351488E-02, -3.036766E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.233093E-06, -1.081089E-04, -2.475305E-02,  5.000000E-01
   300,  3.198204E+00, -4.300333E-02, -3.197915E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.822632E-07, -9.489936E-05, -7.061368E-03,  5.000000E-01
   350,  3.370102E+00, -5.852807E-02, -3.369593E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.057422E-06, -3.398322E-05, -1.852995E-03,  5.000000E-01
   400,  3.497435E+00, -4.917336E-02, -3.497089E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.207712E-06,  3.979395E-05,  2.915617E-03,  5.000000E-01
   450,  3.613623E+00, -2.206346E-02, -3.613556E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.417558E-07,  6.750859E-05,  1.103201E-02,  5.000000E-01
   500,  3.611522E+00,  2.825266E-03, -3.611520E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.140401E-06,  3.619689E-05, -4.515873E-02,  5.000000E-01
   550,  3.523132E+00,  1.817305E-02, -3.523086E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.653020E-06, -4.757941E-06,  1.123403E-03,  5.000000E-01
   600,  3.420062E+00,  3.017467E-02, -3.419929E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.303195E-06, -2.031464E-05,  2.378744E-03,  5.000000E-01
   650,  3.345166E+00,  4.005119E-02, -3.344926E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.582569E-07, -1.686484E-05,  1.424924E-03,  5.000000E-01
   700,  3.305452E+00,  4.208003E-02, -3.305184E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.176326E-08, -2.074542E-05,  1.627272E-03,  5.000000E-01
   750,  3.288679E+00,  3.265892E-02, -3.288516E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.312382E-07, -3.719603E-05,  3.719918E-03,  5.000000E-01
   800,  3.281539E+00,  1.795288E-02, -3.281489E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.145635E-06, -4.361206E-05,  7.907752E-03,  5.000000E-01
   850,  3.276052E+00,  4.276885E-03, -3.276049E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.578051E-07, -3.838537E-05,  2.924899E-02,  5.000000E-01
   900,  3.268867E+00, -5.080253E-03, -3.268863E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.275399E-07, -3.065955E-05, -1.970263E-02,  5.000000E-01
   950,  3.260842E+00, -9.995660E-03, -3.260827E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.140800E-07, -2.314902E-05, -7.583193E-03,  5.000000E-01
  1000,  3.254172E+00, -1.037767E-02, -3.254155E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.286881E-07, -1.512561E-05, -4.793925E-03,  5.000000E-01
