 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 2.000000E-01,    10,  1.782997E+00,  4.217830E-05, -1.782997E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.762453E-08,  2.454885E-07, -1.048182E-02,  5.000000E-01
 4.000000E-01,    20,  4.009255E+00,  2.619792E-04, -4.009255E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.266235E-08,  3.289867E-07, -4.809387E-03,  5.000000E-01
 6.000001E-01,    30,  3.096716E+00,  3.629816E-04, -3.096716E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.887176E-08,  2.690882E-06, -2.304805E-02,  5.000000E-01
 8.000002E-01,    40,  2.749037E+00,  1.416888E-04, -2.749037E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.341877E-07,  2.360532E-06, -4.666621E-02,  5.000000E-01
 1.000000E+00,    50,  2.694667E+00, -9.266710E-04, -2.694666E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.501725E-07, -4.225869E-07, -1.041473E-03,  5.000000E-01
 1.200000E+00,    60,  2.661633E+00, -3.112088E-03, -2.661632E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.738865E-07, -2.986906E-06, -2.499132E-03,  5.000000E-01
 1.400001E+00,    70,  2.644754E+00, -5.411217E-03, -2.644748E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.015518E-07, -4.565619E-06, -2.211640E-03,  5.000000E-01
 1.600001E+00,    80,  2.639843E+00, -5.849002E-03, -2.639836E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.690534E-08, -3.352948E-06, -1.523373E-03,  5.000000E-01
 1.800001E+00,    90,  2.645842E+00, -3.503071E-03, -2.645839E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.876462E-07, -1.581413E-06, -1.275276E-03,  5.000000E-01
 2.000001E+00,   100,  2.656055E+00,  4.190225E-04, -2.656055E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.541559E-07, -1.152001E-07,  1.565409E-03,  5.000000E-01
