 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
  1700,  3.116726E+00, -2.601861E-02, -3.116617E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.465575E-07, -1.853478E-05, -2.210697E-03,  5.000000E-01
  1750,  3.113990E+00, -2.812926E-02, -3.113863E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  3.865397E-07, -5.780139E-06, -6.535935E-04,  5.000000E-01
  1800,  3.111685E+00, -2.671526E-02, -3.111570E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.562987E-07,  4.684112E-06,  5.135134E-04,  5.000000E-01
  1850,  3.109746E+00, -2.245927E-02, -3.109665E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.126011E-06,  1.255395E-05,  1.688059E-03,  5.000000E-01
  1900,  3.108120E+00, -1.608637E-02, -3.108078E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.201880E-06,  1.784669E-05,  3.373478E-03,  5.000000E-01
  1950,  3.106779E+00, -8.550171E-03, -3.106767E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.104492E-06,  2.016500E-05,  7.197923E-03,  5.000000E-01
  2000,  3.105694E+00, -9.651821E-04, -3.105694E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.760304E-07,  1.913424E-05,  6.066118E-02,  5.000000E-01
  2050,  3.104831E+00,  5.651178E-03, -3.104826E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  5.726051E-07,  1.506697E-05, -8.176652E-03,  5.000000E-01
  2100,  3.104160E+00,  1.062493E-02, -3.104142E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.340512E-07,  8.900369E-06, -2.578272E-03,  5.000000E-01
  2150,  3.103653E+00,  1.364414E-02, -3.103623E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -9.508894E-08,  1.917462E-06, -4.431327E-04,  5.000000E-01
  2200,  3.103300E+00,  1.469652E-02, -3.103265E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.726356E-07, -4.799117E-06,  9.880088E-04,  5.000000E-01
  2250,  3.103071E+00,  1.398984E-02, -3.103040E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -5.674615E-07, -1.053206E-05,  2.295518E-03,  5.000000E-01
  2300,  3.102943E+00,  1.187861E-02, -3.102921E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.699694E-07, -1.485291E-05,  3.823464E-03,  5.000000E-01
  2350,  3.102893E+00,  8.808130E-03, -3.102880E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.755110E-07, -1.756251E-05,  6.110134E-03,  5.000000E-01
  2400,  3.102899E+00,  5.250564E-03, -3.102895E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.040311E-07, -1.860763E-05,  1.088140E-02,  5.000000E-01
  2450,  3.102949E+00,  1.702928E-03, -3.102948E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.728347E-07, -1.807019E-05,  3.264848E-02,  5.000000E-01
  2500,  3.103033E+00, -1.424986E-03, -3.103032E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.129517E-07, -1.618548E-05, -3.502570E-02,  5.000000E-01
  2550,  3.103149E+00, -3.811190E-03, -3.103146E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.471633E-07, -1.333668E-05, -1.082037E-02,  5.000000E-01
  2600,  3.103292E+00, -5.297162E-03, -3.103288E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.257737E-09, -1.002563E-05, -5.874593E-03,  5.000000E-01
  2650,  3.103455E+00, -5.851193E-03, -3.103449E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.283277E-07, -6.742682E-06, -3.598223E-03,  5.000000E-01
  2700,  3.103631E+00, -5.552695E-03, -3.103626E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.074348E-07, -3.828735E-06, -2.177392E-03,  5.000000E-01
  2750,  3.103815E+00, -4.574083E-03, -3.103811E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.417222E-07, -1.562348E-06, -1.113000E-03,  5.000000E-01
  2800,  3.103998E+00, -3.138279E-03, -3.103996E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.279445E-07, -1.395522E-07, -2.106613E-04,  5.000000E-01
  2850,  3.104179E+00, -1.468308E-03, -3.104179E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.799004E-07,  4.352540E-07,  7.976570E-04,  5.000000E-01
  2900,  3.104353E+00,  2.152697E-04, -3.104353E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.067736E-07,  2.339899E-07, -2.878313E-03,  5.000000E-01
  2950,  3.104543E+00,  1.708413E-03, -3.104542E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.626882E-08, -5.667306E-07,  1.039391E-03,  5.000000E-01
  3000,  3.104719E+00,  2.871896E-03, -3.104718E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -7.398951E-08, -1.802263E-06,  1.922607E-03,  5.000000E-01
  3050,  3.104878E+00,  3.630631E-03, -3.104876E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.594057E-07, -3.289382E-06,  2.769138E-03,  5.000000E-01
  3100,  3.105024E+00,  3.969490E-03, -3.105021E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.296938E-07, -4.796376E-06,  3.693965E-03,  5.000000E-01
  3150,  3.105136E+00,  3.897703E-03, -3.105134E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.787897E-07, -6.187118E-06,  4.857486E-03,  5.000000E-01
  3200,  3.105233E+00,  3.488631E-03, -3.105232E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.016935E-07, -7.302830E-06,  6.413772E-03,  5.000000E-01
  3250,  3.105343E+00,  2.833833E-03, -3.105341E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.045827E-07, -8.022445E-06,  8.683590E-03,  5.000000E-01
  3300,  3.105442E+00,  2.072105E-03, -3.105441E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.931167E-07, -8.308593E-06,  1.231054E-02,  5.000000E-01
  3350,  3.105535E+00,  1.283889E-03, -3.105535E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.660463E-07, -8.234073E-06,  1.970977E-02,  5.000000E-01
  3400,  3.105627E+00,  5.574951E-04, -3.105627E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.296102E-07, -7.852637E-06,  4.333267E-02,  5.000000E-01
  3450,  3.105709E+00, -3.402142E-05, -3.105709E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.912350E-07, -7.280229E-06, -6.589683E-01,  5.000000E-01
