Distance,Pressure
 0.000000E+00, 5.321063E-02
 6.000161E-05, 5.315907E-02
 1.200032E-04, 5.310749E-02
 1.800048E-04, 5.305593E-02
 2.400064E-04, 5.300436E-02
 3.000080E-04, 5.295280E-02
 3.600096E-04, 5.290123E-02
 4.200113E-04, 5.284966E-02
 4.800129E-04, 5.279809E-02
 5.400145E-04, 5.274653E-02
 6.000161E-04, 5.269496E-02
 6.600177E-04, 5.264339E-02
 7.200193E-04, 5.259182E-02
 7.800209E-04, 5.254025E-02
 8.400225E-04, 5.248869E-02
 9.000241E-04, 5.243712E-02
 9.600258E-04, 5.238850E-02
 1.020027E-03, 5.234243E-02
 1.080029E-03, 5.229636E-02
 1.140031E-03, 5.225028E-02
 1.200032E-03, 5.220421E-02
 1.260034E-03, 5.215814E-02
 1.320035E-03, 5.211206E-02
 1.380037E-03, 5.206599E-02
 1.440039E-03, 5.201991E-02
 1.500040E-03, 5.197384E-02
 1.560042E-03, 5.192777E-02
 1.620044E-03, 5.188169E-02
 1.680045E-03, 5.183562E-02
 1.740047E-03, 5.178954E-02
 1.800048E-03, 5.174347E-02
 1.860050E-03, 5.169740E-02
 1.920052E-03, 5.165132E-02
 1.980053E-03, 5.160525E-02
 2.040055E-03, 5.155917E-02
 2.100056E-03, 5.151310E-02
 2.160058E-03, 5.146703E-02
 2.220060E-03, 5.142096E-02
 2.280061E-03, 5.137488E-02
 2.340063E-03, 5.132881E-02
 2.400064E-03, 5.128273E-02
 2.460066E-03, 5.123666E-02
 2.520068E-03, 5.119058E-02
 2.580069E-03, 5.114451E-02
 2.640071E-03, 5.109844E-02
 2.700072E-03, 5.105236E-02
 2.760074E-03, 5.100629E-02
 2.820075E-03, 5.096022E-02
 2.880077E-03, 5.091414E-02
 2.940079E-03, 5.086807E-02
 3.000080E-03, 5.082200E-02
 3.060082E-03, 5.077592E-02
 3.120084E-03, 5.072985E-02
 3.180085E-03, 5.068377E-02
 3.240087E-03, 5.063770E-02
 3.300088E-03, 5.059163E-02
 3.360090E-03, 5.054555E-02
 3.420092E-03, 5.049948E-02
 3.480093E-03, 5.045589E-02
 3.540095E-03, 5.041327E-02
 3.600097E-03, 5.037065E-02
 3.660098E-03, 5.032803E-02
 3.720100E-03, 5.028541E-02
 3.780101E-03, 5.024280E-02
 3.840103E-03, 5.020018E-02
 3.900104E-03, 5.015756E-02
 3.960106E-03, 5.011494E-02
 4.020108E-03, 5.007233E-02
 4.080109E-03, 5.002971E-02
 4.140111E-03, 4.998710E-02
 4.200113E-03, 4.994448E-02
 4.260114E-03, 4.990186E-02
 4.320116E-03, 4.985924E-02
 4.380118E-03, 4.981662E-02
 4.440119E-03, 4.977401E-02
 4.500120E-03, 4.973139E-02
 4.560122E-03, 4.968877E-02
 4.620124E-03, 4.964615E-02
 4.680126E-03, 4.960354E-02
 4.740127E-03, 4.956092E-02
 4.800129E-03, 4.951830E-02
 4.860130E-03, 4.947569E-02
 4.920132E-03, 4.943307E-02
 4.980133E-03, 4.939045E-02
 5.040135E-03, 4.934783E-02
 5.100137E-03, 4.930522E-02
 5.160138E-03, 4.926260E-02
 5.220140E-03, 4.921998E-02
 5.280142E-03, 4.917736E-02
 5.340143E-03, 4.913475E-02
 5.400145E-03, 4.909213E-02
 5.460146E-03, 4.904952E-02
 5.520148E-03, 4.900689E-02
 5.580150E-03, 4.896428E-02
 5.640151E-03, 4.892166E-02
 5.700153E-03, 4.887904E-02
 5.760154E-03, 4.883642E-02
 5.820156E-03, 4.879381E-02
 5.880157E-03, 4.875119E-02
 5.940159E-03, 4.870857E-02
 6.000161E-03, 4.866596E-02
 6.060163E-03, 4.862334E-02
 6.120164E-03, 4.858072E-02
 6.180166E-03, 4.853810E-02
 6.240167E-03, 4.849708E-02
 6.300169E-03, 4.845668E-02
 6.360170E-03, 4.841629E-02
 6.420172E-03, 4.837589E-02
 6.480174E-03, 4.833549E-02
 6.540175E-03, 4.829510E-02
 6.600177E-03, 4.825470E-02
 6.660179E-03, 4.821430E-02
 6.720180E-03, 4.817390E-02
 6.780182E-03, 4.813351E-02
 6.840183E-03, 4.809311E-02
 6.900185E-03, 4.805271E-02
 6.960187E-03, 4.801232E-02
 7.020188E-03, 4.797192E-02
 7.080190E-03, 4.793152E-02
 7.140191E-03, 4.789113E-02
 7.200193E-03, 4.785073E-02
 7.260195E-03, 4.781033E-02
 7.320196E-03, 4.776993E-02
 7.380198E-03, 4.772954E-02
 7.440200E-03, 4.768914E-02
 7.500201E-03, 4.764875E-02
 7.560202E-03, 4.760835E-02
 7.620204E-03, 4.756795E-02
 7.680206E-03, 4.752756E-02
 7.740207E-03, 4.748716E-02
 7.800209E-03, 4.744676E-02
 7.860211E-03, 4.740637E-02
 7.920212E-03, 4.736597E-02
 7.980214E-03, 4.732557E-02
 8.040216E-03, 4.728518E-02
 8.100217E-03, 4.724478E-02
 8.160219E-03, 4.720438E-02
 8.220220E-03, 4.716399E-02
 8.280222E-03, 4.712359E-02
 8.340224E-03, 4.708319E-02
 8.400225E-03, 4.704279E-02
 8.460226E-03, 4.700240E-02
 8.520229E-03, 4.696200E-02
 8.580230E-03, 4.692160E-02
 8.640232E-03, 4.688121E-02
 8.700233E-03, 4.684081E-02
 8.760235E-03, 4.680041E-02
 8.820237E-03, 4.676002E-02
 8.880238E-03, 4.671962E-02
 8.940239E-03, 4.667922E-02
 9.000241E-03, 4.663882E-02
 9.060243E-03, 4.659843E-02
 9.120245E-03, 4.655803E-02
 9.180246E-03, 4.651763E-02
 9.240247E-03, 4.647741E-02
 9.300249E-03, 4.643849E-02
 9.360251E-03, 4.639957E-02
 9.420252E-03, 4.636066E-02
 9.480254E-03, 4.632174E-02
 9.540256E-03, 4.628282E-02
 9.600258E-03, 4.624390E-02
 9.660259E-03, 4.620498E-02
 9.720260E-03, 4.616607E-02
 9.780263E-03, 4.612714E-02
 9.840264E-03, 4.608823E-02
 9.900265E-03, 4.604931E-02
 9.960267E-03, 4.601039E-02
 1.002027E-02, 4.597147E-02
 1.008027E-02, 4.593255E-02
 1.014027E-02, 4.589364E-02
 1.020027E-02, 4.585472E-02
 1.026028E-02, 4.581580E-02
 1.032028E-02, 4.577688E-02
 1.038028E-02, 4.573796E-02
 1.044028E-02, 4.569904E-02
 1.050028E-02, 4.566012E-02
 1.056028E-02, 4.562121E-02
 1.062028E-02, 4.558229E-02
 1.068029E-02, 4.554337E-02
 1.074029E-02, 4.550445E-02
 1.080029E-02, 4.546553E-02
 1.086029E-02, 4.542661E-02
 1.092029E-02, 4.538769E-02
 1.098029E-02, 4.534878E-02
 1.104030E-02, 4.530986E-02
 1.110030E-02, 4.527094E-02
 1.116030E-02, 4.523202E-02
 1.122030E-02, 4.519310E-02
 1.128030E-02, 4.515418E-02
 1.134030E-02, 4.511527E-02
 1.140031E-02, 4.507635E-02
 1.146031E-02, 4.503743E-02
 1.152031E-02, 4.499851E-02
 1.158031E-02, 4.495959E-02
 1.164031E-02, 4.492068E-02
 1.170031E-02, 4.488176E-02
 1.176031E-02, 4.484284E-02
 1.182032E-02, 4.480392E-02
 1.188032E-02, 4.476500E-02
 1.194032E-02, 4.472608E-02
 1.200032E-02, 4.468716E-02
 1.206032E-02, 4.464824E-02
 1.212033E-02, 4.460933E-02
 1.218033E-02, 4.457041E-02
 1.224033E-02, 4.453149E-02
 1.230033E-02, 4.449257E-02
 1.236033E-02, 4.445365E-02
 1.242033E-02, 4.441473E-02
 1.248033E-02, 4.437582E-02
 1.254034E-02, 4.433690E-02
 1.260034E-02, 4.429844E-02
 1.266034E-02, 4.426052E-02
 1.272034E-02, 4.422260E-02
 1.278034E-02, 4.418468E-02
 1.284034E-02, 4.414677E-02
 1.290035E-02, 4.410885E-02
 1.296035E-02, 4.407093E-02
 1.302035E-02, 4.403301E-02
 1.308035E-02, 4.399509E-02
 1.314035E-02, 4.395718E-02
 1.320035E-02, 4.391926E-02
 1.326036E-02, 4.388134E-02
 1.332036E-02, 4.384343E-02
 1.338036E-02, 4.380551E-02
 1.344036E-02, 4.376759E-02
 1.350036E-02, 4.372967E-02
 1.356036E-02, 4.369175E-02
 1.362037E-02, 4.365383E-02
 1.368037E-02, 4.361591E-02
 1.374037E-02, 4.357800E-02
 1.380037E-02, 4.354008E-02
 1.386037E-02, 4.350216E-02
 1.392037E-02, 4.346424E-02
 1.398038E-02, 4.342633E-02
 1.404038E-02, 4.338841E-02
 1.410038E-02, 4.335049E-02
 1.416038E-02, 4.331258E-02
 1.422038E-02, 4.327466E-02
 1.428038E-02, 4.323674E-02
 1.434038E-02, 4.319882E-02
 1.440039E-02, 4.316090E-02
 1.446039E-02, 4.312298E-02
 1.452039E-02, 4.308507E-02
 1.458039E-02, 4.304715E-02
 1.464039E-02, 4.300923E-02
 1.470039E-02, 4.297131E-02
 1.476040E-02, 4.293340E-02
 1.482040E-02, 4.289547E-02
 1.488040E-02, 4.285756E-02
 1.494040E-02, 4.281964E-02
 1.500040E-02, 4.278173E-02
 1.506040E-02, 4.274381E-02
 1.512040E-02, 4.270589E-02
 1.518041E-02, 4.266797E-02
 1.524041E-02, 4.263005E-02
 1.530041E-02, 4.259213E-02
 1.536041E-02, 4.255421E-02
 1.542041E-02, 4.251630E-02
 1.548041E-02, 4.247838E-02
 1.554042E-02, 4.244046E-02
 1.560042E-02, 4.240255E-02
 1.566042E-02, 4.236463E-02
 1.572042E-02, 4.232671E-02
 1.578042E-02, 4.228879E-02
 1.584042E-02, 4.225087E-02
 1.590043E-02, 4.221296E-02
 1.596043E-02, 4.217504E-02
 1.602043E-02, 4.213712E-02
 1.608043E-02, 4.209920E-02
 1.614043E-02, 4.206128E-02
 1.620043E-02, 4.202337E-02
 1.626044E-02, 4.198560E-02
 1.632044E-02, 4.194836E-02
 1.638044E-02, 4.191111E-02
 1.644044E-02, 4.187386E-02
 1.650044E-02, 4.183662E-02
 1.656044E-02, 4.179937E-02
 1.662045E-02, 4.176213E-02
 1.668045E-02, 4.172488E-02
 1.674045E-02, 4.168763E-02
 1.680045E-02, 4.165039E-02
 1.686045E-02, 4.161314E-02
 1.692045E-02, 4.157590E-02
 1.698046E-02, 4.153865E-02
 1.704046E-02, 4.150140E-02
 1.710046E-02, 4.146415E-02
 1.716046E-02, 4.142691E-02
 1.722046E-02, 4.138966E-02
 1.728046E-02, 4.135242E-02
 1.734046E-02, 4.131517E-02
 1.740047E-02, 4.127792E-02
