Distance,X-Velocity
 0.000000E+00, 7.100029E-04
 1.001249E-05, 7.241094E-04
 2.002498E-05, 7.382159E-04
 3.003748E-05, 7.523223E-04
 4.004997E-05, 7.664287E-04
 5.006246E-05, 7.805352E-04
 6.007495E-05, 7.946417E-04
 7.008744E-05, 8.087481E-04
 8.009993E-05, 8.228546E-04
 9.011243E-05, 8.369611E-04
 1.001249E-04, 8.510675E-04
 1.101374E-04, 8.651739E-04
 1.201499E-04, 8.792805E-04
 1.301624E-04, 8.933869E-04
 1.401749E-04, 9.074933E-04
 1.501874E-04, 9.215998E-04
 1.601999E-04, 9.357062E-04
 1.702124E-04, 9.498128E-04
 1.802249E-04, 9.639192E-04
 1.902374E-04, 9.780256E-04
 2.002499E-04, 9.921321E-04
 2.102624E-04, 1.006239E-03
 2.202749E-04, 1.020345E-03
 2.302874E-04, 1.034451E-03
 2.402999E-04, 1.048558E-03
 2.503124E-04, 1.062664E-03
 2.603248E-04, 1.076771E-03
 2.703373E-04, 1.090877E-03
 2.803498E-04, 1.104984E-03
 2.903623E-04, 1.119090E-03
 3.003748E-04, 1.133197E-03
 3.103872E-04, 1.147303E-03
 3.203997E-04, 1.161410E-03
 3.304122E-04, 1.175516E-03
 3.404247E-04, 1.189622E-03
 3.504372E-04, 1.203729E-03
 3.604496E-04, 1.217835E-03
 3.704621E-04, 1.231942E-03
 3.804746E-04, 1.246048E-03
 3.904871E-04, 1.260155E-03
 4.004996E-04, 1.274261E-03
 4.105120E-04, 1.288368E-03
 4.205245E-04, 1.302474E-03
 4.305370E-04, 1.316580E-03
 4.405495E-04, 1.330687E-03
 4.505620E-04, 1.344793E-03
 4.605745E-04, 1.358900E-03
 4.705869E-04, 1.373006E-03
 4.805994E-04, 1.389415E-03
 4.906119E-04, 1.414704E-03
 5.006244E-04, 1.439993E-03
 5.106369E-04, 1.465283E-03
 5.206494E-04, 1.490572E-03
 5.306619E-04, 1.515861E-03
 5.406744E-04, 1.541151E-03
 5.506870E-04, 1.566440E-03
 5.606995E-04, 1.591729E-03
 5.707120E-04, 1.617019E-03
 5.807245E-04, 1.642308E-03
 5.907370E-04, 1.667598E-03
 6.007495E-04, 1.692887E-03
 6.107620E-04, 1.718176E-03
 6.207745E-04, 1.743466E-03
 6.307870E-04, 1.768755E-03
 6.407996E-04, 1.794044E-03
 6.508121E-04, 1.819334E-03
 6.608246E-04, 1.844623E-03
 6.708371E-04, 1.869912E-03
 6.808496E-04, 1.895202E-03
 6.908621E-04, 1.920491E-03
 7.008746E-04, 1.945780E-03
 7.108871E-04, 1.971070E-03
 7.208996E-04, 1.996359E-03
 7.309121E-04, 2.021648E-03
 7.409247E-04, 2.046938E-03
 7.509371E-04, 2.072227E-03
 7.609497E-04, 2.097516E-03
 7.709622E-04, 2.122806E-03
 7.809747E-04, 2.148095E-03
 7.909872E-04, 2.173384E-03
 8.009997E-04, 2.198674E-03
 8.110122E-04, 2.223963E-03
 8.210247E-04, 2.249253E-03
 8.310372E-04, 2.274542E-03
 8.410498E-04, 2.299831E-03
 8.510622E-04, 2.325120E-03
 8.610748E-04, 2.350410E-03
 8.710873E-04, 2.375699E-03
 8.810998E-04, 2.400989E-03
 8.911123E-04, 2.426278E-03
 9.011248E-04, 2.451567E-03
 9.111373E-04, 2.476857E-03
 9.211499E-04, 2.502146E-03
 9.311623E-04, 2.527435E-03
 9.411749E-04, 2.552725E-03
 9.511873E-04, 2.578014E-03
 9.611999E-04, 2.603304E-03
 9.712123E-04, 2.628593E-03
 9.812248E-04, 2.653882E-03
 9.912372E-04, 2.679171E-03
 1.001250E-03, 2.704460E-03
 1.011262E-03, 2.727665E-03
 1.021275E-03, 2.749656E-03
 1.031287E-03, 2.771647E-03
 1.041300E-03, 2.793639E-03
 1.051312E-03, 2.815630E-03
 1.061324E-03, 2.837622E-03
 1.071337E-03, 2.859613E-03
 1.081349E-03, 2.881605E-03
 1.091362E-03, 2.903596E-03
 1.101374E-03, 2.925587E-03
 1.111387E-03, 2.947579E-03
 1.121399E-03, 2.969570E-03
 1.131412E-03, 2.991561E-03
 1.141424E-03, 3.013553E-03
 1.151436E-03, 3.035544E-03
 1.161449E-03, 3.057536E-03
 1.171461E-03, 3.079527E-03
 1.181474E-03, 3.101518E-03
 1.191486E-03, 3.123510E-03
 1.201499E-03, 3.145501E-03
 1.211511E-03, 3.167493E-03
 1.221524E-03, 3.189484E-03
 1.231536E-03, 3.211475E-03
 1.241549E-03, 3.233467E-03
 1.251561E-03, 3.255459E-03
 1.261574E-03, 3.277450E-03
 1.271586E-03, 3.299441E-03
 1.281598E-03, 3.321433E-03
 1.291611E-03, 3.343424E-03
 1.301623E-03, 3.365416E-03
 1.311636E-03, 3.387407E-03
 1.321648E-03, 3.409398E-03
 1.331661E-03, 3.431390E-03
 1.341673E-03, 3.453381E-03
 1.351685E-03, 3.475373E-03
