Distance,X-Velocity
 0.000000E+00, 4.678567E-04
 1.001249E-05, 4.825323E-04
 2.002498E-05, 4.972079E-04
 3.003747E-05, 5.118834E-04
 4.004996E-05, 5.265590E-04
 5.006246E-05, 5.412346E-04
 6.007495E-05, 5.559102E-04
 7.008744E-05, 5.705858E-04
 8.009993E-05, 5.852613E-04
 9.011241E-05, 5.999369E-04
 1.001249E-04, 6.146125E-04
 1.101374E-04, 6.292881E-04
 1.201499E-04, 6.439636E-04
 1.301624E-04, 6.586392E-04
 1.401749E-04, 6.733148E-04
 1.501874E-04, 6.879904E-04
 1.601999E-04, 7.026659E-04
 1.702124E-04, 7.173416E-04
 1.802248E-04, 7.320171E-04
 1.902373E-04, 7.466928E-04
 2.002498E-04, 7.613683E-04
 2.102623E-04, 7.760439E-04
 2.202748E-04, 7.907195E-04
 2.302873E-04, 8.053951E-04
 2.402998E-04, 8.200707E-04
 2.503123E-04, 8.347463E-04
 2.603248E-04, 8.494218E-04
 2.703373E-04, 8.640974E-04
 2.803497E-04, 8.787729E-04
 2.903623E-04, 8.934485E-04
 3.003747E-04, 9.081241E-04
 3.103872E-04, 9.227996E-04
 3.203997E-04, 9.451662E-04
 3.304122E-04, 9.721018E-04
 3.404247E-04, 9.990374E-04
 3.504371E-04, 1.025973E-03
 3.604496E-04, 1.052909E-03
 3.704621E-04, 1.079845E-03
 3.804746E-04, 1.106780E-03
 3.904871E-04, 1.133716E-03
 4.004995E-04, 1.160651E-03
 4.105120E-04, 1.187587E-03
 4.205245E-04, 1.214523E-03
 4.305370E-04, 1.241458E-03
 4.405495E-04, 1.268394E-03
 4.505619E-04, 1.295330E-03
 4.605744E-04, 1.322265E-03
 4.705869E-04, 1.349201E-03
 4.805994E-04, 1.376137E-03
 4.906119E-04, 1.403072E-03
 5.006244E-04, 1.430008E-03
 5.106369E-04, 1.456944E-03
 5.206494E-04, 1.483880E-03
 5.306619E-04, 1.510815E-03
 5.406744E-04, 1.537751E-03
 5.506870E-04, 1.564687E-03
 5.606995E-04, 1.591623E-03
 5.707120E-04, 1.618558E-03
 5.807245E-04, 1.645494E-03
 5.907370E-04, 1.672430E-03
 6.007495E-04, 1.699366E-03
 6.107620E-04, 1.726301E-03
 6.207745E-04, 1.753237E-03
 6.307870E-04, 1.780173E-03
 6.407996E-04, 1.807109E-03
 6.508121E-04, 1.834044E-03
 6.608246E-04, 1.860725E-03
 6.708371E-04, 1.885489E-03
 6.808496E-04, 1.910252E-03
 6.908621E-04, 1.935015E-03
 7.008746E-04, 1.959778E-03
 7.108871E-04, 1.984541E-03
 7.208996E-04, 2.009304E-03
 7.309121E-04, 2.034067E-03
 7.409247E-04, 2.058830E-03
 7.509371E-04, 2.083594E-03
 7.609497E-04, 2.108356E-03
 7.709622E-04, 2.133120E-03
