Distance,X-Velocity
 0.000000E+00, 9.917950E-05
 1.001249E-05, 1.146903E-04
 2.002498E-05, 1.302012E-04
 3.003747E-05, 1.457121E-04
 4.004996E-05, 1.612229E-04
 5.006246E-05, 1.767338E-04
 6.007495E-05, 1.922446E-04
 7.008744E-05, 2.129591E-04
 8.009993E-05, 2.423415E-04
 9.011241E-05, 2.717240E-04
 1.001249E-04, 3.011064E-04
 1.101374E-04, 3.304888E-04
 1.201499E-04, 3.598712E-04
 1.301624E-04, 3.892536E-04
 1.401749E-04, 4.185960E-04
 1.501874E-04, 4.475180E-04
 1.601999E-04, 4.764400E-04
 1.702124E-04, 5.053621E-04
 1.802248E-04, 5.342840E-04
 1.902373E-04, 5.632060E-04
 2.002498E-04, 5.921280E-04
 2.102623E-04, 6.210500E-04
 2.202748E-04, 6.499360E-04
 2.302873E-04, 6.783515E-04
 2.402998E-04, 7.067670E-04
 2.503123E-04, 7.351824E-04
 2.603248E-04, 7.635979E-04
 2.703373E-04, 7.920134E-04
 2.803497E-04, 8.204287E-04
 2.903623E-04, 8.488442E-04
 3.003747E-04, 8.772596E-04
 3.103872E-04, 9.055339E-04
 3.203997E-04, 9.333922E-04
 3.304122E-04, 9.612505E-04
 3.404247E-04, 9.891087E-04
 3.504371E-04, 1.016967E-03
 3.604496E-04, 1.044825E-03
 3.704621E-04, 1.072684E-03
 3.804746E-04, 1.100542E-03
 3.904871E-04, 1.128400E-03
 4.004995E-04, 1.156258E-03
 4.105120E-04, 1.183777E-03
 4.205245E-04, 1.211023E-03
 4.305370E-04, 1.238268E-03
 4.405495E-04, 1.265513E-03
 4.505619E-04, 1.292759E-03
 4.605744E-04, 1.320004E-03
 4.705869E-04, 1.347249E-03
 4.805994E-04, 1.374495E-03
 4.906119E-04, 1.401740E-03
 5.006244E-04, 1.428986E-03
 5.106369E-04, 1.456231E-03
 5.206494E-04, 1.482880E-03
 5.306619E-04, 1.509452E-03
 5.406744E-04, 1.536023E-03
 5.506870E-04, 1.562594E-03
 5.606995E-04, 1.589165E-03
 5.707120E-04, 1.615737E-03
 5.807245E-04, 1.642308E-03
 5.907370E-04, 1.668879E-03
 6.007495E-04, 1.695450E-03
 6.107620E-04, 1.722022E-03
 6.207745E-04, 1.748593E-03
 6.307870E-04, 1.775054E-03
 6.407996E-04, 1.800884E-03
 6.508121E-04, 1.826713E-03
 6.608246E-04, 1.852543E-03
 6.708371E-04, 1.878373E-03
 6.808496E-04, 1.904202E-03
 6.908621E-04, 1.930032E-03
 7.008746E-04, 1.955861E-03
 7.108871E-04, 1.981691E-03
 7.208996E-04, 2.007521E-03
 7.309121E-04, 2.033350E-03
 7.409247E-04, 2.059180E-03
 7.509371E-04, 2.085009E-03
 7.609497E-04, 2.110644E-03
 7.709622E-04, 2.135658E-03
 7.809747E-04, 2.160672E-03
 7.909872E-04, 2.185686E-03
 8.009997E-04, 2.210699E-03
 8.110122E-04, 2.235713E-03
 8.210247E-04, 2.260727E-03
 8.310372E-04, 2.285740E-03
 8.410498E-04, 2.310754E-03
 8.510622E-04, 2.335768E-03
 8.610748E-04, 2.360782E-03
 8.710873E-04, 2.385795E-03
 8.810998E-04, 2.410809E-03
 8.911123E-04, 2.435823E-03
 9.011248E-04, 2.460803E-03
 9.111373E-04, 2.484919E-03
 9.211499E-04, 2.509035E-03
 9.311623E-04, 2.533152E-03
 9.411749E-04, 2.557268E-03
 9.511873E-04, 2.581384E-03
 9.611999E-04, 2.605500E-03
 9.712123E-04, 2.629617E-03
 9.812248E-04, 2.653733E-03
 9.912372E-04, 2.677849E-03
 1.001250E-03, 2.701965E-03
 1.011262E-03, 2.726081E-03
 1.021275E-03, 2.750197E-03
 1.031287E-03, 2.774313E-03
 1.041300E-03, 2.798429E-03
 1.051312E-03, 2.822545E-03
 1.061324E-03, 2.846251E-03
 1.071337E-03, 2.869380E-03
 1.081349E-03, 2.892509E-03
 1.091362E-03, 2.915638E-03
 1.101374E-03, 2.938766E-03
 1.111387E-03, 2.961895E-03
 1.121399E-03, 2.985024E-03
 1.131412E-03, 3.008153E-03
 1.141424E-03, 3.031282E-03
